Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-25-2024_Slot2-94_3888.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-28-2024_Slot2-94_3955.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-28-2024_Slot2-94_3959.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-28-2024_Slot2-94_3968.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-29-2024_Slot2-94_3994.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_3-2-2024_Slot2-94_4032.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_3-3-2024_Slot2-94_4061.d
P08195	P08195	4F2_HUMAN	SLC3A2	4F2 cell-surface antigen heavy chain	9490.98	10174.7	9532.71	10997.6	9688.77	9321.97	10107.1
P08236	P08236	BGLR_HUMAN	GUSB	Beta-glucuronidase	447.428	402.516					
P08237	P08237;P17858	PFKAM_HUMAN	PFKM	ATP-dependent 6-phosphofructokinase, muscle type	1401.92	1314.83	813.433	1129.65	1214.11	1170.75	1395.86
P08238	Q58FF8;P07900;P08238;Q14568	HS90B_HUMAN	HSP90AB1	Heat shock protein HSP 90-beta	47655.1	45021.6	43170	45365.2	42918	44093.2	42704.9
P08240	P08240	SRPRA_HUMAN	SRPRA	Signal recognition particle receptor subunit alpha	569.837	795.435		637.233	827.857	608.034	863.749
P08243	P08243	ASNS_HUMAN	ASNS	Asparagine synthetase [glutamine-hydrolyzing]	1135.28	1012.61	1812.11	1462.57	796.477	1372.83	1352.26
P08559	P08559	ODPA_HUMAN	PDHA1	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial	1981.42	2042.07	1260.57	2226.09	1819.6	2064.7	1993.61
P08572	P08572	CO4A2_HUMAN	COL4A2	Collagen alpha-2(IV) chain	393.753	357.249		340.001	342.152	318.705	498.803
P08574	P08574	CY1_HUMAN	CYC1	Cytochrome c1, heme protein, mitochondrial	3559.94	3654.35	2638.64	3695.85	4566.76	3520.84	3587.06
P08579	P08579	RU2B_HUMAN	SNRPB2	U2 small nuclear ribonucleoprotein B''	1069.62	850.815		1015.7	969.121	894.271	1048.94
P08581	P08581	MET_HUMAN	MET	Hepatocyte growth factor receptor	231.884	282.779		385.396	602.885		277.858
P08621	P08621	RU17_HUMAN	SNRNP70	U1 small nuclear ribonucleoprotein 70 kDa	2773.37	3921.06	3289.76	3076.01	3242.88	3521.86	3271.37
P08648	P08648	ITA5_HUMAN	ITGA5	Integrin alpha-5	1165.59	1195.44	2489.88	1599.94	1554.27	1557.31	1009.26
P08651	O00712;Q12857;P08651;Q14938	NFIC_HUMAN	NFIC	Nuclear factor 1 C-type	527.578	665.482		555.655	400.029	788.34	884.08
P08670	P08670	VIME_HUMAN	VIM	Vimentin	47966.3	45739.8	43056.7	45105.2	45548	45676.7	45873.6
P08708	P08708	RS17_HUMAN	RPS17	40S ribosomal protein S17	3485.54	2687.15	2913.97	2633.12	3670.94	3468.96	2795.13
P08727	P08727;CONT|P08727|K1C19_HUMAN	K1C19_HUMAN	KRT19	Keratin, type I cytoskeletal 19	1328.36	1055.47	5264.31	1217.35	1089.17	1098.77	1075.45
P08729	P08729;CONT|P08729|K2C7_HUMAN	K2C7_HUMAN	KRT7	Keratin, type II cytoskeletal 7	22601.2	23093.7	23549.9	23181.9	23534.2	23584.9	23091
P08754	P08754	GNAI3_HUMAN	GNAI3	Guanine nucleotide-binding protein G(i) subunit alpha-3	1412.71	1572.65		784.829	1450.56	1690.57	1693.84
P08758	P08758	ANXA5_HUMAN	ANXA5	Annexin A5	18623.2	20767.2	18214.5	20317.3	19816.8	19330.1	19253.5
P08865	P08865	RSSA_HUMAN	RPSA	40S ribosomal protein SA	12242.6	12841.1	10296.6	11914	13476.7	12341.9	12034.4
P08962	P08962	CD63_HUMAN	CD63	CD63 antigen	1581.9	783.236		1126.69	970.878	827.942	960.232
P09001	P09001	RM03_HUMAN	MRPL3	39S ribosomal protein L3, mitochondrial	250.375	448.738		491.755	503.793		306.648
P09012	P09012	SNRPA_HUMAN	SNRPA	U1 small nuclear ribonucleoprotein A	1491.12	1702.4	1444.37	1951.46	1326.52	1377.72	1347.64
P09038	P09038	FGF2_HUMAN	FGF2	Fibroblast growth factor 2	1344.24	894.986		1068.3	1486.73	1307.13	1236.96
P09104	P09104	ENOG_HUMAN	ENO2	Gamma-enolase	561.226	961.985	2950.07	901.882	845.769	809.886	816.084
P09110	P09110	THIK_HUMAN	ACAA1	3-ketoacyl-CoA thiolase, peroxisomal	137.812	927.718		443.866	162.061	506.043	
P09132	P09132	SRP19_HUMAN	SRP19	Signal recognition particle 19 kDa protein	933.303	750.175		500.347	556.167	963.392	557.188
P09211	P09211	GSTP1_HUMAN	GSTP1	Glutathione S-transferase P	14452.1	13131.5	13299.5	14778.6	12914.2	13363.8	13446.6
P09234	P09234	RU1C_HUMAN	SNRPC	U1 small nuclear ribonucleoprotein C	1252.75	1294.36	1806.63	1008.25	1352.05	1155.97	1441.17
P09382	P09382	LEG1_HUMAN	LGALS1	Galectin-1	19039.7	21125.6	19059.7	19063.1	18599.6	19119.5	19459.5
P09417	P09417	DHPR_HUMAN	QDPR	Dihydropteridine reductase	538.943	319.255		618.423	725.017	472.313	802.615
P09429	P09429	HMGB1_HUMAN	HMGB1	High mobility group protein B1	2235.02	2223.86	2426.83	2912.71	2570.92	1772.68	2186.06
P09488	P09488;P28161;Q03013	GSTM1_HUMAN	GSTM1	Glutathione S-transferase Mu 1	1870.4	1893.07	2797.51	2013.7	2007.42	1836.37	1536.48
P09493	P09493	TPM1_HUMAN	TPM1	Tropomyosin alpha-1 chain	4669.77	5019.6	6194.4	5145.28	5890.25	5378.15	5111.38
P09496	P09496	CLCA_HUMAN	CLTA	Clathrin light chain A	3549.05	3734.07	3326.03	3554.64	3512.48	3730.13	4879.4
P09497	P09497	CLCB_HUMAN	CLTB	Clathrin light chain B	1080.68	1085.31		677.226	836.928	1108.7	949.259
P09525	P09525	ANXA4_HUMAN	ANXA4	Annexin A4	854.581	1009.59	3721.49	802.811	883.032	862.236	1197.11
P09543	P09543	CN37_HUMAN	CNP	2',3'-cyclic-nucleotide 3'-phosphodiesterase	905.19	1015.72		796.776	1050.73	931.175	710.312
P09601	P09601	HMOX1_HUMAN	HMOX1	Heme oxygenase 1	758.368	647.387		861.688	847.588	825.873	636.124
P09622	P09622	DLDH_HUMAN	DLD	Dihydrolipoyl dehydrogenase, mitochondrial	1956.33	1895.13	1410.5	2236.04	1777.33	1846.36	1800.57
P09651	P09651;A0A2R8Y4L2	ROA1_HUMAN	HNRNPA1	Heterogeneous nuclear ribonucleoprotein A1	10711.2	9880.59	8183.84	9444.37	9468.79	9215.96	10104.6
P09661	P09661	RU2A_HUMAN	SNRPA1	U2 small nuclear ribonucleoprotein A'	2465.1	2528.66	2156.26	2273.69	2766.8	2826.13	2019.8
P09669	P09669	COX6C_HUMAN	COX6C	Cytochrome c oxidase subunit 6C	1795.58	1748.44		1647.98	1686.37	2219.77	1516.2
P09758	P09758	TACD2_HUMAN	TACSTD2	Tumor-associated calcium signal transducer 2	267.457	207.074					
P09874	P09874	PARP1_HUMAN	PARP1	Poly [ADP-ribose] polymerase 1	2726.51	2586.27	3345.2	2506.85	2671.29	2510.63	2759.86
P09884	P09884	DPOLA_HUMAN	POLA1	DNA polymerase alpha catalytic subunit	219.466	222.381	209.65	325.023	1312.66		602.196
P09960	P09960	LKHA4_HUMAN	LTA4H	Leukotriene A-4 hydrolase	1445.94	1386.16	1815.72	1061.8	1476.47	1343.43	1208.03
P09972	P09972	ALDOC_HUMAN	ALDOC	Fructose-bisphosphate aldolase C	1496.29	883.118	1394.68	1013.55	714.889	819.145	602.057
P0C0S5;Q71UI9	P0C0S5;Q71UI9	H2AV_HUMAN;H2AZ_HUMAN	H2AZ1;H2AZ2	Histone H2A.Z	6988.43	7218.74	6757.85	6430.99	6029.49	6437.95	7074.99
P0C0S8;P20671;Q16777;Q6FI13;Q96KK5;Q99878;Q9BTM1	Q96KK5;Q99878;P0C0S8;Q16777;P20671;Q6FI13;Q9BTM1	H2A1D_HUMAN;H2A1H_HUMAN;H2A1J_HUMAN;H2A1_HUMAN;H2A2A_HUMAN;H2A2C_HUMAN;H2AJ_HUMAN	H2AC11;H2AC12;H2AC14;H2AC18;H2AC20;H2AC7;H2AJ	Histone H2A type 1	1941.17	1104.53	711.924	1435.2	1163.85	1150.91	1400.7
P0CG29;P0CG30	P0CG29;P0CG30	GST2_HUMAN;GSTT2_HUMAN	GSTT2;GSTT2B	Glutathione S-transferase theta-2	526.078	437.446		553.817	414.319	235.777	874.676
P0DJ07	P0DJ07	PT100_HUMAN	PET100	Protein PET100 homolog, mitochondrial	306.372					610.109	
P0DMV8;P0DMV9	P0DMV8;P0DMV9;P34931	HS71A_HUMAN;HS71B_HUMAN	HSPA1A;HSPA1B	Heat shock 70 kDa protein 1A	17752.8	17637.3	14359	17379.2	17515.9	17747.2	17321
P0DP23;P0DP24;P0DP25	P0DP23;P0DP25;P0DP24	CALM1_HUMAN;CALM2_HUMAN;CALM3_HUMAN	CALM1;CALM2;CALM3	Calmodulin-1	15788.7	14335.4	10627.5	13628.4	13831.1	13856	13502
P0DPB6	P0DPB6	RPAC2_HUMAN	POLR1D	DNA-directed RNA polymerases I and III subunit RPAC2	449.265	927.962		685.311	1100.06	615.472	599.558
P10109	P10109	ADX_HUMAN	FDX1	Adrenodoxin, mitochondrial		536.465					
P10155	P10155	RO60_HUMAN	RO60	RNA-binding protein RO60	445.751	547.923		417.596	289.838	480.801	795.047
P10253	P10253	LYAG_HUMAN	GAA	Lysosomal alpha-glucosidase	552.105	337.062		556.718		530.305	406.346
P10301	P62070;P10301	RRAS_HUMAN	RRAS	Ras-related protein R-Ras	617.315	514.239		642.559	798.306	1191.51	833.866
P10321	P10321	HLAC_HUMAN	HLA-C	HLA class I histocompatibility antigen, C alpha chain	1068.79	1009.94	784.567	968.722	785.682	533.591	1036.56
P10412	P10412	H14_HUMAN	H1-4	Histone H1.4	717.221	1038.02					592.481
P10515	P10515	ODP2_HUMAN	DLAT	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	1192.98	1158.96		1187.42	1429.98	1165.51	1127.84
P10586	P10586;P23468;Q13332	PTPRF_HUMAN	PTPRF	Receptor-type tyrosine-protein phosphatase F						367.142	429.887
P10599	P10599	THIO_HUMAN	TXN	Thioredoxin	12124.1	12026.7	9190.53	11610.9	12211.9	11328.2	11864.6
P10606	P10606	COX5B_HUMAN	COX5B	Cytochrome c oxidase subunit 5B, mitochondrial	2977.23	2431.63	3088.06	2242.46	1789.53	2474.35	1509.91
P10619	P10619	PPGB_HUMAN	CTSA	Lysosomal protective protein	405.692	631.255		916.918	967.819	642.051	1152.21
P10620	P10620	MGST1_HUMAN	MGST1	Microsomal glutathione S-transferase 1	2075.96	1789.45	1635.48	1796.73	2101.07	2077.87	1591.61
P10644	P10644	KAP0_HUMAN	PRKAR1A	cAMP-dependent protein kinase type I-alpha regulatory subunit	1120.14	956.187	1968.13	1145.27	638.01	968.406	1298.5
P10768	P10768	ESTD_HUMAN	ESD	S-formylglutathione hydrolase	1215.19	1181.2	856.218	1396.51	1101.37	849.382	1289.48
P10809	P10809	CH60_HUMAN	HSPD1	60 kDa heat shock protein, mitochondrial	28782	29832.2	27257.5	29794.1	30428.6	29446.2	28431.1
P10909	P10909	CLUS_HUMAN	CLU	Clusterin	1756.3	2456.09	3025.04	3307.33	2621.34	2240.04	2781.72
P11021	P11021	BIP_HUMAN	HSPA5	Endoplasmic reticulum chaperone BiP	22228.2	22183.5	22349.6	21103.3	21890.9	21643.4	21245.1
P11047	P11047	LAMC1_HUMAN	LAMC1	Laminin subunit gamma-1	503.54	423.722		471.743	454.746	939.642	400.19
P11117	P11117	PPAL_HUMAN	ACP2	Lysosomal acid phosphatase	808.066	1181.11	1324.46	1256.94	1199.79	1515.23	1053.08
P11137	P11137	MTAP2_HUMAN	MAP2	Microtubule-associated protein 2	330.226	857.471		464.317	416.336		712.311
P11142	P54652;P11142	HSP7C_HUMAN	HSPA8	Heat shock cognate 71 kDa protein	44122.9	41133.6	35631	40950.9	42415.8	39003.7	38413.6
P11166	P11166	GTR1_HUMAN	SLC2A1	Solute carrier family 2, facilitated glucose transporter member 1	3280.71	3017.04	2230.7	3627.61	3417.79	2474.49	2906.23
P11172	P11172	UMPS_HUMAN	UMPS	Uridine 5'-monophosphate synthase	650.354	623.908		560.599	805.919	871.777	827.454
P11177	P11177	ODPB_HUMAN	PDHB	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	3018.83	2830.92	2314.02	2707.57	2590.78	2536.85	2139.64
P11216	P11216	PYGB_HUMAN	PYGB	Glycogen phosphorylase, brain form	390.442	380.866		676.458		183.923	440.855
P11233	P11233	RALA_HUMAN	RALA	Ras-related protein Ral-A	1328.22	1277.5	2889.91	1417.27	1471	1453.34	1319.48
P11234	P11234	RALB_HUMAN	RALB	Ras-related protein Ral-B		522.873		313.46			
P11279	P11279	LAMP1_HUMAN	LAMP1	Lysosome-associated membrane glycoprotein 1	3449.54	4563.56	2741.88	4232.04	4477.43	4676.51	4495.18
P11310	P11310	ACADM_HUMAN	ACADM	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	2927.61	3134.34	1329.46	2868.72	2766.98	3578.44	3022.77
P11387	P11387	TOP1_HUMAN	TOP1	DNA topoisomerase 1	1463.75	1613.71	2022.11	1671.14	1862.47	1817.78	1892.87
P11388	P11388	TOP2A_HUMAN	TOP2A	DNA topoisomerase 2-alpha	1522.14	1408.55	2213.73	1512.31	1464.78	1470.33	1629.68
P11413	P11413	G6PD_HUMAN	G6PD	Glucose-6-phosphate 1-dehydrogenase	6131.08	7007.65	5386.79	6443.14	6622.42	6495.21	6572.92
P11441	P11441	UBL4A_HUMAN	UBL4A	Ubiquitin-like protein 4A	355.868	703.713		453.045	598.883	484.098	718.623
P11498	P11498	PYC_HUMAN	PC	Pyruvate carboxylase, mitochondrial	1917.57	1760.52	3081.3	1810.54	1821.58	1561.03	1743.08
P11586	P11586	C1TC_HUMAN	MTHFD1	C-1-tetrahydrofolate synthase, cytoplasmic	4647.86	4727.05	4865.33	4650.73	4429	4868.07	4823.65
P11717	P11717	MPRI_HUMAN	IGF2R	Cation-independent mannose-6-phosphate receptor	1503.03	1184.49	976.657	1389.2	1239.51	1049.45	1157.14
P11766	P11766	ADHX_HUMAN	ADH5	Alcohol dehydrogenase class-3	1869.96	2416.69	2837.57	2795.69	2515.47	2769.31	2670.34
P11802	P11802	CDK4_HUMAN	CDK4	Cyclin-dependent kinase 4	533.025	386.409		1061.72	552.398	995.846	717.801
P11908	P11908	PRPS2_HUMAN	PRPS2	Ribose-phosphate pyrophosphokinase 2	845.818	439.846		694.171	574.401	419.025	673.579
P11940	P11940;Q4VXU2	PABP1_HUMAN	PABPC1	Polyadenylate-binding protein 1	6032.87	5990.09	4770.08	6036.71	5886.51	6027.66	5436.96
P12004	P12004	PCNA_HUMAN	PCNA	Proliferating cell nuclear antigen	5206.2	5247.83	5486.62	5846.43	5554.37	5403.87	5443.06
P12081	P12081;P49590	HARS1_HUMAN	HARS1	Histidine--tRNA ligase, cytoplasmic	3643.21	3951.43	4425.66	4156.04	3619.12	3606.71	3820.08
P12235	P12235	ADT1_HUMAN	SLC25A4	ADP/ATP translocase 1	1746.03	1556.58	2114.16	1152.16	1335.68	1431.48	873.959
P12236	P12236	ADT3_HUMAN	SLC25A6	ADP/ATP translocase 3	2180.34	1725.86	2426.24	2255.17	1348.74	2151.1	2679.85
P12268	P12268	IMDH2_HUMAN	IMPDH2	Inosine-5'-monophosphate dehydrogenase 2	5539.32	5109.32	5752.81	5931.07	5043.33	5585.4	5387.9
P12270	P12270	TPR_HUMAN	TPR	Nucleoprotein TPR	1331.67	1407.6	1571.17	1390.41	1349.17	1298.92	1365.4
P12277	P12277	KCRB_HUMAN	CKB	Creatine kinase B-type	10165.2	10293.4	9233.43	11580.2	10613.5	11835.3	10856.1
P12429	P12429	ANXA3_HUMAN	ANXA3	Annexin A3	3519.78	3959.47	4057.58	4077.79	3614.1	4022.91	3546.01
P12532;P17540	P12532;P17540	KCRS_HUMAN;KCRU_HUMAN	CKMT1A;CKMT2	Creatine kinase U-type, mitochondrial	324.216				284.638		
P12694	P12694	ODBA_HUMAN	BCKDHA	2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial	667.379	330.084	828.693	497.185	491.038	365.314	403.65
P12814	P12814	ACTN1_HUMAN	ACTN1	Alpha-actinin-1	3463.68	3123.9	3461.65	3197.44	3404.26	3195.17	3334.65
P12882;Q9UKX2	Q9UKX2;P12882	MYH1_HUMAN;MYH2_HUMAN	MYH1;MYH2	Myosin-1		2050.97	1359.32			733.179	
P12955	P12955	PEPD_HUMAN	PEPD	Xaa-Pro dipeptidase	858.724	871.19	2134.45	817.785	937.724	874.492	1249.52
P12956	P12956	XRCC6_HUMAN	XRCC6	X-ray repair cross-complementing protein 6	7311.53	6945.42	5240.26	6612.84	6559.84	7210.57	6402.2
P13010	P13010	XRCC5_HUMAN	XRCC5	X-ray repair cross-complementing protein 5	9377.13	9296.89	8730.29	10542.3	9137.81	9634.69	9785.83
P13051	P13051	UNG_HUMAN	UNG	Uracil-DNA glycosylase	238.732	413.41		332.689	358.441		881.653
P13073	P13073	COX41_HUMAN	COX4I1	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial	3545.35	3719.97	4083.24	3330.24	3797.25	3249.45	3616.68
P13164;Q01628;Q01629	Q01629;P13164;Q01628	IFM1_HUMAN;IFM2_HUMAN;IFM3_HUMAN	IFITM1;IFITM2;IFITM3	Interferon-induced transmembrane protein 1	120.214	185.648		317.298	241.503		
P13284	P13284	GILT_HUMAN	IFI30	Gamma-interferon-inducible lysosomal thiol reductase		209.5		588.191	198.124		
P13473	P13473	LAMP2_HUMAN	LAMP2	Lysosome-associated membrane glycoprotein 2	4579.12	4021.44	1753.73	3135.58	4837.38	4120.11	3814.62
P13489	P13489	RINI_HUMAN	RNH1	Ribonuclease inhibitor	1490.68	1651.07	1082.59	1386.54	1711.62	1907.69	1406.39
P13639	P13639	EF2_HUMAN	EEF2	Elongation factor 2	25133.4	26381.7	20798.2	25221.7	25198.2	24547	23675.7
P13645	P13645;CONT|P13645|K1C10_HUMAN;CONT|O77727|K1C15_SHEEP	K1C10_HUMAN	KRT10	Keratin, type I cytoskeletal 10			8729.43		220.11		668.232
P13667	P13667	PDIA4_HUMAN	PDIA4	Protein disulfide-isomerase A4	2217.96	2391.87	2915.64	2260.48	2310.81	2177.6	2279.83
P13674	P13674	P4HA1_HUMAN	P4HA1	Prolyl 4-hydroxylase subunit alpha-1	842.157	621.325		648.026	910.106	718.318	601.285
P13693	P13693;Q56UQ5	TCTP_HUMAN	TPT1	Translationally-controlled tumor protein	2547	2063.12	1465.31	1990.3	1987.04	1839.53	2385.37
P13716	P13716	HEM2_HUMAN	ALAD	Delta-aminolevulinic acid dehydratase	152.956				283.893		
P13797	P13797	PLST_HUMAN	PLS3	Plastin-3	7447.96	6809.11	5952.27	6602.69	6650.6	6420.01	6464.21
P13798	P13798	ACPH_HUMAN	APEH	Acylamino-acid-releasing enzyme	1943.06	1629.96		1651.99	1548.36	1701.92	1698.32
P13804	P13804	ETFA_HUMAN	ETFA	Electron transfer flavoprotein subunit alpha, mitochondrial	1817.42	1977.48	2384.21	2382.77	1563.82	1683.31	1932.96
P13807	P13807	GYS1_HUMAN	GYS1	Glycogen [starch] synthase, muscle	531.433	340.085		684.838	630.064		352.393
P13861	P13861	KAP2_HUMAN	PRKAR2A	cAMP-dependent protein kinase type II-alpha regulatory subunit	750.983	780.937	1192.99	1211.64	927.375	1073.85	1038.36
P13928;Q5VT79	Q5VT79;P13928	ANXA8_HUMAN;AXA81_HUMAN	ANXA8;ANXA8L1	Annexin A8	290.147	267.65		432.318	362.351	2704.51	397.124
P13929	P13929	ENOB_HUMAN	ENO3	Beta-enolase	3346.44	3427.59	3717.1	3496.85	3399.39	3837.68	3052.05
P13984	P13984	T2FB_HUMAN	GTF2F2	General transcription factor IIF subunit 2		354.376		277.265		405.303	
P13987	P13987	CD59_HUMAN	CD59	CD59 glycoprotein	6714.86	5997.81	5900.8	5436.94	5811.39	5587.96	5195.19
P13995	P13995	MTDC_HUMAN	MTHFD2	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial	445.146	715.51	1590.32	716.868	1023.95	574.195	708.751
P14174	P14174	MIF_HUMAN	MIF	Macrophage migration inhibitory factor	41651.6	44737.2	36530.3	48745	43003.7	41910.1	41345.1
P14209	P14209	CD99_HUMAN	CD99	CD99 antigen	913.052	1347.08		1153.81	1734.56	976.849	1134.4
P14314	P14314	GLU2B_HUMAN	PRKCSH	Glucosidase 2 subunit beta	4174.81	3661.9	4284.65	3825.45	3481.47	3444.83	3799.92
P14324	P14324	FPPS_HUMAN	FDPS	Farnesyl pyrophosphate synthase	4326.98	3440.02	4034.29	3674.72	4121.77	3787.68	4493.86
P14406	P14406	CX7A2_HUMAN	COX7A2	Cytochrome c oxidase subunit 7A2, mitochondrial	1792.45	1654.1	2027.39	1467	2306.59	1613.89	1998.54
P14550	P14550	AK1A1_HUMAN	AKR1A1	Aldo-keto reductase family 1 member A1	1630.89	1510.91	2504.25	1456.54	1764.58	2121.84	1493.87
P14618	P14618	KPYM_HUMAN	PKM	Pyruvate kinase PKM	49269.5	48419.1	43040.6	47022.8	51232.2	46275.7	46542.4
P14625	P14625;Q58FF3	ENPL_HUMAN	HSP90B1	Endoplasmin	15249.9	14530.7	13863.1	14720.1	14302.1	14950	14181.3
P14635	P14635	CCNB1_HUMAN	CCNB1	G2/mitotic-specific cyclin-B1						173.195	
P14678;P63162	P63162;P14678	RSMB_HUMAN;RSMN_HUMAN	SNRPB;SNRPN	Small nuclear ribonucleoprotein-associated proteins B and B'	3053.7	3219.9	1792.04	2991.18	3157.97	3270.35	3117.87
P14735	P14735	IDE_HUMAN	IDE	Insulin-degrading enzyme	785.442	866.367	544.779	1014.45	841.702	1180.87	589.466
P14854	P14854	CX6B1_HUMAN	COX6B1	Cytochrome c oxidase subunit 6B1	1268.28	1175.3	2028.19	1154.04	846.894	1149.57	1138.58
P14866	P14866	HNRPL_HUMAN	HNRNPL	Heterogeneous nuclear ribonucleoprotein L	4114.08	3636.88	3435.94	4346.72	3911.71	3914.46	3977.16
P14868	P14868	SYDC_HUMAN	DARS1	Aspartate--tRNA ligase, cytoplasmic	2211.78	2298.45	2097.98	2221.48	2622.86	2288.24	2186.25
P14923	P14923	PLAK_HUMAN	JUP	Junction plakoglobin	1265.57	1161.67	2120.71	1280.04	1029.76	1290.56	1171.91
P14927	P14927	QCR7_HUMAN	UQCRB	Cytochrome b-c1 complex subunit 7	1005.69	1266.71	1825.02	902.296	1454.25	1064.17	1273.19
P15104	P15104	GLNA_HUMAN	GLUL	Glutamine synthetase	2730.05	2242.64	2579.06	2559.63	2429.65	2579.52	2405.11
P15121	P15121	ALDR_HUMAN	AKR1B1	Aldo-keto reductase family 1 member B1	6247.88	5494.15	6656.22	6010.12	6013.32	6195.54	5811.82
P15151	P15151	PVR_HUMAN	PVR	Poliovirus receptor	332.561	485.418		361.231	454.353		829.424
P15170	P15170	ERF3A_HUMAN	GSPT1	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A	1819.92	1759.41	1439.62	2117.82	1734.82	1863.65	2485.39
P15289	P15289	ARSA_HUMAN	ARSA	Arylsulfatase A		177.669					
P15291	P15291	B4GT1_HUMAN	B4GALT1	Beta-1,4-galactosyltransferase 1	560.953	1103.7		604.598	375.3	281.018	
P15311	P15311	EZRI_HUMAN	EZR	Ezrin	7558.05	6969.35	6367.06	7038.84	6518.92	6766.13	6544.81
P15328	P15328	FOLR1_HUMAN	FOLR1	Folate receptor alpha	3513.6	3546.4	3109.7	2680.22	3011.26	3522.67	3072.82
P15374	P15374	UCHL3_HUMAN	UCHL3	Ubiquitin carboxyl-terminal hydrolase isozyme L3	577.527	498.47		437.15	800.142	547.012	479.455
P15529	P15529	MCP_HUMAN	CD46	Membrane cofactor protein	616.628	574.815					
P15531	O60361;P22392;P15531	NDKA_HUMAN	NME1	Nucleoside diphosphate kinase A	27907.5	25919.6	23249.8	26617.7	27664.8	25642.2	25182.7
P15559	P15559	NQO1_HUMAN	NQO1	NAD(P)H dehydrogenase [quinone] 1	5028.12	5004.29	5019.14	5173.05	5270.38	5729.02	5403.29
P15586	P15586	GNS_HUMAN	GNS	N-acetylglucosamine-6-sulfatase	1414.93	1403.6	1223.31	1491.29	1279.16	1743.3	1276.78
P15848	P15848	ARSB_HUMAN	ARSB	Arylsulfatase B	459.161				327.407		381.202
P15880	P15880	RS2_HUMAN	RPS2	40S ribosomal protein S2	7275.2	6984.4	6401.33	6078.22	6572.71	6269.66	6234.9
P15924	P15924	DESP_HUMAN	DSP	Desmoplakin		332.332		402.508	185.416		
P15927	P15927	RFA2_HUMAN	RPA2	Replication protein A 32 kDa subunit	1705.7	1417.94	1673.82	1129.57	1516.59	1148.03	1252.32
P15954	P15954	COX7C_HUMAN	COX7C	Cytochrome c oxidase subunit 7C, mitochondrial	1536.07	1515.34	1723.81	1179.18	1468.92	1800.97	1721.86
P16066	P16066	ANPRA_HUMAN	NPR1	Atrial natriuretic peptide receptor 1		301.166		273.871			350.516
P16070	P16070	CD44_HUMAN	CD44	CD44 antigen	3198.75	3630.69	2877.89	3810.57	3384.71	3739.48	3763.78
P16083	P16083	NQO2_HUMAN	NQO2	Ribosyldihydronicotinamide dehydrogenase [quinone]	873.234	791.081	1457.67	801.947	1373.01	782.017	878.047
P16104	P16104	H2AX_HUMAN	H2AX	Histone H2AX	300181	311989	264299	290434	301433	301761	323898
P16152	P16152	CBR1_HUMAN	CBR1	Carbonyl reductase [NADPH] 1	3320.22	4170.41	4010.8	3912.12	3298.78	3804.22	3946.46
P16220	P18846;P16220	CREB1_HUMAN	CREB1	Cyclic AMP-responsive element-binding protein 1	814.328	668.07		503.064	817.777	585.995	656.851
P16278	P16278	BGAL_HUMAN	GLB1	Beta-galactosidase	556.354	586.153		572.487	569.133	597.15	729.21
P16401	P16401	H15_HUMAN	H1-5	Histone H1.5	28540	28691.8	27475.1	27359.9	27409.7	25771.5	29250.6
P16402	P16402	H13_HUMAN	H1-3	Histone H1.3	291.135			1336.26	665.65	959.075	1341.22
P16403	P16402;P10412;P16403	H12_HUMAN	H1-2	Histone H1.2	66722.8	65895.3	65769.6	62548	66149.8	62354.3	68005.4
P16435	P16435	NCPR_HUMAN	POR	NADPH--cytochrome P450 reductase	939.072	1084.22	2213.97	1168.7	1351.9	960.783	862.516
P16455	P16455	MGMT_HUMAN	MGMT	Methylated-DNA--protein-cysteine methyltransferase		489.835		414.356			
P16615	P16615	AT2A2_HUMAN	ATP2A2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	1992.17	1790.31	2135.46	1756.53	1727.25	2160	1763.91
P16949	P16949	STMN1_HUMAN	STMN1	Stathmin	4819	4611.69	4623.07	4941.83	4239.99	4611.33	4999.15
P16989	P16989	YBOX3_HUMAN	YBX3	Y-box-binding protein 3	952.722	1107.41		934.874	1080.47	1028.16	596.169
P17050	P17050	NAGAB_HUMAN	NAGA	Alpha-N-acetylgalactosaminidase		320.94	867.403		326.483	499.456	
