Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-194_4215.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-195_4216.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-196_4217.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-197_4218.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-198_4219.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-199_4228.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-200_4229.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-201_4230.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-202_4231.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-203_4232.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-26_4209.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-27_4210.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-28_4211.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-29_4212.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-30_4213.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-31_4222.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-32_4223.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-33_4224.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-34_4225.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-35_4226.d
P29373;P29762	P29762;P29373	RABP1_HUMAN;RABP2_HUMAN	CRABP1;CRABP2	Cellular retinoic acid-binding protein 2	349.028	401.212	297.906	304.115	635.199	217.085	989.631	332.054		474.267			725.696			705.048	379.654	251.902		
P29401	P29401	TKT_HUMAN	TKT	Transketolase	915.513	1333.61	2177.06	3156.85	1047.68	1386.58	1169.11	987.189	2201.43	1018.19		2665.97	1502.83	1254.68	2134.28	1425.32	2660.32	478.711	1916.27	2563.28
P29508	P29508	SPB3_HUMAN	SERPINB3	Serpin B3	7907.48	9347.16	2745.74	5432.22	7859.3	4531.44	8701.59	7351.6	5573.82	7475.47		8148.82	8997.18	5557.37	6972.67	10206.9	3589.83	3519.97	4792.64	5613
P29590	P29590	PML_HUMAN	PML	Protein PML	1012.29		551.887	751.454		579.176	853.194		761.894	1055.02		209.519		107.508			467.088	767.774	262.209	246.793
P29692	P29692	EF1D_HUMAN	EEF1D	Elongation factor 1-delta	957.958	629.99	3728.33	3063.42	1840.72	4237.08	473.759	1294.97	3304.99	868.751		1742.39	1545.41	1223.06	2779.4	1522.09	2173.2	510.686	3204.35	3118.83
P29966	P29966	MARCS_HUMAN	MARCKS	Myristoylated alanine-rich C-kinase substrate	1030.54		1579.56	1183.68		2268.33	1042.35	1527.89	1032.75	887.728		1707.17	1909.85	1095.44	1275.22	849.986	1183.81	917.823	1789.74	1584.08
P29992	P29992	GNA11_HUMAN	GNA11	Guanine nucleotide-binding protein subunit alpha-11	207.849		759.668	592.435		716.579	320.426	405.738	387.253	501.948		909.067		430.657			588.109	1428.17	484.882	
P30038	P30038	AL4A1_HUMAN	ALDH4A1	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial			172.781	248.027		651.224						133.431					173.026	815.107		
P30040	P30040	ERP29_HUMAN	ERP29	Endoplasmic reticulum resident protein 29	1299.16		933.498	1542.5		1048.61	1463.39	1662.02	1254.04	1302.43		1043.42	1986.48	1522.55	995.66	637.495	1319.68	1646.57	854.266	1347.4
P30041	P30041	PRDX6_HUMAN	PRDX6	Peroxiredoxin-6	1220.36	583.519	5070.38	8523.45	1746.31	5345.89	2020.58	1100.45	8017.76	1051.86		4435.46	1962.5	799.197	3820.12	3851.94	4296.95	1207.41	5672.37	5257.29
P30044	P30044	PRDX5_HUMAN	PRDX5	Peroxiredoxin-5, mitochondrial	688.428		1329.34	1147.73	2283.33	925.849	1132.81	675.348	1248.13	683.546		1201.84	1385.87	1472.62	729.881		2025.01	2095.21	897.585	630.862
P30048	P30048	PRDX3_HUMAN	PRDX3	Thioredoxin-dependent peroxide reductase, mitochondrial	2173.07		582.928	3027.37		629.407	2448.95	998.244	1162.33	1768.31		865.946	1202.12	2058.54	793.883		1993.31	2366.19	279.49	1388.22
P30049	P30049	ATPD_HUMAN	ATP5F1D	ATP synthase subunit delta, mitochondrial	1479.1		601.49	1397.08		502.196	2532.88	1334.46	1157.39	546.26		353.675	425.943	1091.86	777.058		1190.97	2066.95	781.396	847.845
P30050	P30050	RL12_HUMAN	RPL12	60S ribosomal protein L12	2129.15		3389.43	3409.15	480.793	3581.85	1973.67	3683.3	2695.15	1126.4		2733.58	1416.57	2091.71	3734.42	2373.13	2680.92	1066.25	3164.72	3222.43
P30084	P30084	ECHM_HUMAN	ECHS1	Enoyl-CoA hydratase, mitochondrial	1187.25		958.312	974.758		825.777	787.689	671.696	1090.54	1327.07		892.524	910.201	1602.33	1259.41		1508.4	2555.2	637.043	1044.22
P30086	P30086	PEBP1_HUMAN	PEBP1	Phosphatidylethanolamine-binding protein 1	2461.78	3289.73	6313.18	16122.4	4582.27	6660.95	3836.95	2688.23	8059.86	4085.6		7888.52	4378.74	2122.82	7453.55	4989.61	4257.63	1754.36	7851.58	7422.22
P30101	P30101	PDIA3_HUMAN	PDIA3	Protein disulfide-isomerase A3	8260.23	775.924	5663.02	5809.25	1077.2	7063.69	5664.77	4736.95	5038.01	7940.2		2717.27	5302.79	9467.95	3254.38	3006.46	6450.55	9299.3	4600.9	5364.3
P30153	P30153	2AAA_HUMAN	PPP2R1A	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform			1524.12	1487.22		1017.86	671.693	740.329	966.019			1546.88	598.307	713.326	1200.86	433.912	968.482	714.098	1240.86	702.437
P30419	P30419	NMT1_HUMAN	NMT1	Glycylpeptide N-tetradecanoyltransferase 1			443.288	459.749		750.989			1303.88			409.05			545.544		471.665		828.004	564.949
P30520	P30520	PURA2_HUMAN	ADSS2	Adenylosuccinate synthetase isozyme 2	64.3536		403.487	599.819		782.929			376.941				737.494		422.906	310.532	675.245		1197.53	720.465
P30533	P30533	AMRP_HUMAN	LRPAP1	Alpha-2-macroglobulin receptor-associated protein				337.764				467.05	261.013					599.173			368.343	561.095		153.339
P30536	P30536	TSPO_HUMAN	TSPO	Translocator protein	379.969							379.412	313.81					253.876				525.941		
P30566	P30566	PUR8_HUMAN	ADSL	Adenylosuccinate lyase			168.162	425.135		344.214			375.569			120.622			375.223		417.186		860.94	366.708
P30626	P30626	SORCN_HUMAN	SRI	Sorcin	430.334		1710.03	2306.39		2154.24			1452.64			1687.02	649.282	515.758	934.449	1453.56	1391.23		1044.66	1428.19
P30740	P30740	ILEU_HUMAN	SERPINB1	Leukocyte elastase inhibitor									278.563						324.235		399.118			
P30837	P30837	AL1B1_HUMAN	ALDH1B1	Aldehyde dehydrogenase X, mitochondrial	693.645		389.084	286.513		411.2		440.681	252.125	451.176		199.078	692.909	352.334	352.996		282.807	544.512		529.989
P30876	P30876	RPB2_HUMAN	POLR2B	DNA-directed RNA polymerase II subunit RPB2			394.281									397.544	333.494				262.548			
P31040	P31040	SDHA_HUMAN	SDHA	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	1289.15		321.096	1975.86		701.734	709.099	305.173	158.332	249.061		392.124	972.879	454.308			483.492	850.67		199.485
P31150	P31150	GDIA_HUMAN	GDI1	Rab GDP dissociation inhibitor alpha			267.615	385.35		668.856			401.906			694.649			505.904	285.555	299.365		376.377	724.837
P31151	P31151;Q86SG5	S10A7_HUMAN	S100A7	Protein S100-A7	7134.54	11093.2	3053.66	4460.79	16437.4	4699.47	10391.5	9175.46	4911.52	8549.89		10713.5	10350.3	6180.39	7079.53	11108.9	3827.08	3702.14	4787.73	7017.63
P31153	P31153	METK2_HUMAN	MAT2A	S-adenosylmethionine synthase isoform type-2	235.079		969.34	419.151		808.868		231.868	537.09			1190.72		199.279	643.405	283.447	305.379	301.931	817.828	627.064
P31431	P31431	SDC4_HUMAN	SDC4	Syndecan-4																	267.889			
P31689	P31689	DNJA1_HUMAN	DNAJA1	DnaJ homolog subfamily A member 1			412.742	764.368		295.467			302.501			758.893					339.125	180.558	503.888	
P31930	P31930	QCR1_HUMAN	UQCRC1	Cytochrome b-c1 complex subunit 1, mitochondrial	1224.17		720.581	1167.98		349.274	1154.54	1391.21	466.527	1433.06		608.142	710.278	874.19	981.778		805.033	927.536	525.694	879.106
P31937	P31937	3HIDH_HUMAN	HIBADH	3-hydroxyisobutyrate dehydrogenase, mitochondrial				461.606														262.242		
P31939	P31939	PUR9_HUMAN	ATIC	Bifunctional purine biosynthesis protein ATIC	881.526	462.833	1314.08	995.304	279.78	690.968	337.309	282.873	975.045	1177.7		1375.89	734.492	166.126	1005.52	498.937	851.217	129.458	1573.59	1211.88
P31942	P31942	HNRH3_HUMAN	HNRNPH3	Heterogeneous nuclear ribonucleoprotein H3	954.176		1048.79	1018.86		917.516	886.597	1390.23	1131.04			626.98	880.767	982.217	1830.08		904.314	480.239	738.822	894.165
P31943	P31943	HNRH1_HUMAN	HNRNPH1	Heterogeneous nuclear ribonucleoprotein H	1244.26		1544.64	1052.41	1780.19	1703.11	1220.96	1372.32	1542.47	1140.22		1725.59	1171.11	1246.84	1597.34		1590.27	489.209	1549.77	1816.8
P31944	P31944	CASPE_HUMAN	CASP14	Caspase-14	3039.51	3076.78	1808.32	2273.03	3101.11	2750.08	3237.1	4287.31	2069.74	3578.36		2517.94	2875.5	2501.73	2662.02	2816.83	1579.66	2110.52	2336.61	2372.18
P31946	P31946	1433B_HUMAN	YWHAB	14-3-3 protein beta/alpha	1464.12	517.06	2719.65	2770.52	491.888	2353.23	538.409	881.032	2972.52	304.153		2576.47	727.489		1294.91	2240.31	2374.22	371.682	2597.85	2378.61
P31947	P31947	1433S_HUMAN	SFN	14-3-3 protein sigma	1820.39	2086.39	1036.41	1612.94	3213.81	1508.52	3574.94	2404.66	2140.16	3081.41		2242.3	2419.6	2093.42	1831.68	2902.75	1363.47	1277.24	1373.28	2255.73
P31948	P31948	STIP1_HUMAN	STIP1	Stress-induced-phosphoprotein 1	576.828		1568.76	1534.63		1840.84		609.888	1485.79			1357.98	285.047	159.846	936.82	712.334	1259.67	334.387	1548.28	1606.08
P31949	P31949	S10AB_HUMAN	S100A11	Protein S100-A11	822.396	1179.02	3303.34	4077.32	1452.76	1962.98	1396.87	1003.44	2815.3	1354.96		2762.38	1710.27	1083.59	2570.91	1989.01	1747.43	798.985	2847.35	2431.24
P32119	P32119	PRDX2_HUMAN	PRDX2	Peroxiredoxin-2	2544.79	2557.86	3161.38	3221.93	2608.66	3776.07	2858.49	2688.13	3561.41	2354.32		4198.58	2706.62	1920.91	2937.19	3336.3	3651.92	1478.22	3275.15	3871.1
P32321	P32321	DCTD_HUMAN	DCTD	Deoxycytidylate deaminase			510.499	600.094		371.229						388.566				150.22			873.445	
P32322	P32322	P5CR1_HUMAN	PYCR1	Pyrroline-5-carboxylate reductase 1, mitochondrial													589.92	307.702			308.788	59.7875	371.719	282.413
P32455	P32455	GBP1_HUMAN	GBP1	Guanylate-binding protein 1			1574.82	1712.61		897.685			3146.45			2019.81		2617.33		1177.46	1681.45	1699.14		2047.99
P32969	P32969	RL9_HUMAN	RPL9	60S ribosomal protein L9	1381.37	631.978	1896.58	2144.06	516.158	2488.8	841.772	2759.82	1823.65	1007.4		2439.71	1184.02	1360.39	2700.71	1952.6	1826.56	524.001	2944.43	2092.6
P33121	P33121	ACSL1_HUMAN	ACSL1	Long-chain-fatty-acid--CoA ligase 1				1697.24					274.309					638.648		311.901				
P33176	O60282;Q12840;P33176	KINH_HUMAN	KIF5B	Kinesin-1 heavy chain	525.61		1084.04	935.571		995.205		176.735	813.805			1117.46	241.251	282.205	1127.08	1461.49	1102.66	279.394	933.516	1219.71
P33240	P33240;Q9H0L4	CSTF2_HUMAN	CSTF2	Cleavage stimulation factor subunit 2			185.304	315.061		333.743	387.522	416.099				284.682	99.8625	568.028	250.896		340.153	256.467	258.711	601.632
P33316	P33316	DUT_HUMAN	DUT	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial			791.259	767.441		461.26			829.022			780.98			1493.59		1228.86	1996.74	734.963	742.656
P33527	P33527	MRP1_HUMAN	ABCC1	Multidrug resistance-associated protein 1						455.676	404.698											334.25		
P33991	P33991	MCM4_HUMAN	MCM4	DNA replication licensing factor MCM4			358.667	338.13		400.58			358.046					436.773	563.084		240.473		454.135	481.409
P33992	P33992	MCM5_HUMAN	MCM5	DNA replication licensing factor MCM5	834.65		844.556	676.316		840.667			709.062			690.951	1703.7	248.09	843.454		381.268		768.327	840.318
P33993	P33993	MCM7_HUMAN	MCM7	DNA replication licensing factor MCM7	789.163		814.855	745.74		665.243			787.754			933.301	779.096	918.433	795.037		505.86		947.154	851.41
P34897	P34897	GLYM_HUMAN	SHMT2	Serine hydroxymethyltransferase, mitochondrial	1769.34		593.258	1516.01		1298.44	966.829	1410.2	794.542	1109.93		489.169	668.962	1486.35	791.943		1221.97	899.987	930.347	1178
P34932	P34932	HSP74_HUMAN	HSPA4	Heat shock 70 kDa protein 4	270.016		969.565	908.482	262.523	900.157	1009.81	1030.74	1075.34	727.646		992.243	1095.42	1207.22	1309.68	933.455	729.493	235.876	899.457	1340.37
P35080	P35080	PROF2_HUMAN	PFN2	Profilin-2	2494.56		1617.95	1507.83		1370.66	356.195		1458.8	295.948		1822.81	507.057	267.041	1402.46	1853.38	1455.75	158.689	1665.99	1574.33
P35221	P26232;P35221	CTNA1_HUMAN	CTNNA1	Catenin alpha-1	108.875		446.613	342.056		393.489		386.14	356.073			658.632	590.451	361.03	481.38		574.773	534.656	603.521	608.394
P35232	P35232	PHB1_HUMAN	PHB1	Prohibitin 1	2418.08	536.788	1444.43	1998.84		1643.09	2318.56	1561.89	1668.35	2361.27		771.89	1061.52	2052.3	1228.7		2404.55	3338.83	864.786	1832.5
P35237	P35237;P50452	SPB6_HUMAN	SERPINB6	Serpin B6	300.11	316.625	1528.57	1469.8	596.805	1057.19	1007.72		1319.62	1239.61		1195.13		325.074	1425.02	1240.39	885.09	346.932	1104.65	1525.83
P35241	P35241	RADI_HUMAN	RDX	Radixin			438.593	498.182		433.088			690.126			340.054			848.962		463.156		789.709	361.081
P35268	P35268	RL22_HUMAN	RPL22	60S ribosomal protein L22	2313.3	341.244	4872.81	4089.25	759.223	5203.78	2241.01	4124.37	4199.68	789.253		4636.93	1742.65	2928.9	4432.59	2946.46	4113.08	1094.08	4687.59	4948.36
P35527	P35527;CONT|P35527|K1C9_HUMAN	K1C9_HUMAN	KRT9	Keratin, type I cytoskeletal 9	136242	153731	60707	85137	163405	92233.3	178593	145650	113232	155931		130497	159505	118937	139874	172627	66966	76330.4	97074.1	124426
P35555	P35555	FBN1_HUMAN	FBN1	Fibrillin-1				601.767																
P35579	P35579	MYH9_HUMAN	MYH9	Myosin-9	8187.43	983.483	9167.81	8120.34	1701.64	7393.89	4710.82	3265.16	10389.6	3217.3		7019	2634.76	1555.79	6245.94	6192.1	9968.03	1676.72	10055.7	7107.08
P35580	P35580;Q7Z406	MYH10_HUMAN	MYH10	Myosin-10	937.527		863.223	982.633		945.525	861.154	662.243	935.049	544.136		1038.08	806.75		1137.07	876.224	1027.67	318.785	1053	1130.29
P35606	P35606	COPB2_HUMAN	COPB2	Coatomer subunit beta'	809.829	1274.02	934.892	1476.16	531.242	1501.43			1462.53			1280.5	963.376	407.059	809.058	926.465	711.073		1315.27	1272
P35611	P35611	ADDA_HUMAN	ADD1	Alpha-adducin			233.067					674.352				269.157								207.683
P35613	P35613	BASI_HUMAN	BSG	Basigin	1519.46		1202.23	1593.43	693.237	936.442	4249.67	2183.5	1778.93	1131.47		841.795	1977.91	1295.25	817.793	826.309	1304.3	3960.53	932.748	1227.31
P35625	P35625	TIMP3_HUMAN	TIMP3	Metalloproteinase inhibitor 3													340.063	421.661			694.348	490.065		
P35637	P35637	FUS_HUMAN	FUS	RNA-binding protein FUS			2169.86	1317.23		2491.45		1405.98	2784.03	480.281		2083.02	658.635	1016.91	2782.97		1232.52		2401.96	1860.17
P35658	P35658	NU214_HUMAN	NUP214	Nuclear pore complex protein Nup214	234.956					234.809								268.7			94.4384			
P35659	P35659	DEK_HUMAN	DEK	Protein DEK			499.183	465.101		643.713	1086.64	946.205	624.278	1116.88				298.497	566.369		415.849		657.589	579.346
P35754	P35754	GLRX1_HUMAN	GLRX	Glutaredoxin-1	498.7		227.293	336.746		209.61		586.654	279.975	329.708		510.189			510.841		165.625		281.811	455.283
P35908	P35908;CONT|P35908|K22E_HUMAN	K22E_HUMAN	KRT2	Keratin, type II cytoskeletal 2 epidermal	104623	113702	47268.9	70058.8	111817	74278.9	120562	106928	81001.5	114994		99250.4	123237	87734.4	104113	131813	50164.2	56512.5	88729.5	92974.1
P35914	P35914	HMGCL_HUMAN	HMGCL	Hydroxymethylglutaryl-CoA lyase, mitochondrial	478.232		225.295	209.363		951.344			149.418	1067.45				402.003	188.558		606.399	674.611		
P35998	P35998	PRS7_HUMAN	PSMC2	26S proteasome regulatory subunit 7	561.108		786.306	954.552		593.902	470.318	923.402	785.47	1579.55		958.457		420.694	1548.19	975.143	946.733	402.914	746.264	837.412
P36404	P36404	ARL2_HUMAN	ARL2	ADP-ribosylation factor-like protein 2	327.906		329.751	317.36		198.422		594.426	547.997									134.549	463.316	
P36405	P36405	ARL3_HUMAN	ARL3	ADP-ribosylation factor-like protein 3	444.368		1122.68	699.987	497.827	584.694			775.216	148.096		766.277			1121.57		426.04		1649.02	1202.26
P36507	P36507	MP2K2_HUMAN	MAP2K2	Dual specificity mitogen-activated protein kinase kinase 2			382.011	211.267	295.079	243.175									152.996					
P36542	P36542	ATPG_HUMAN	ATP5F1C	ATP synthase subunit gamma, mitochondrial	1220.64		773.843	984.904		853.853	1453.53	892.894	1001.66	1119.81		486.883	1521.24	741.648	852.391		1517.52	2306.73	780.667	1076.96
P36543	P36543;Q96A05	VATE1_HUMAN	ATP6V1E1	V-type proton ATPase subunit E 1	544.703		284.145	466.712		263.312		872.271	430.759	497.204		629.522		649.53	313.205	431.38	362.554	733.958	572.528	306.794
P36551	P36551	HEM6_HUMAN	CPOX	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial						236.872				118.594					459.519		272.341			
P36578	P36578	RL4_HUMAN	RPL4	60S ribosomal protein L4	1630.91	328.129	2214.06	2353.51		2116.09	1070.32	2972.29	2669.81	970.434		2243.61	1101.81	2055.07	3126.64	1884.74	2279.4	1135.24	3093.99	2612.72
P36639	P36639	8ODP_HUMAN	NUDT1	Oxidized purine nucleoside triphosphate hydrolase			311.908												620.817					
P36776	P36776	LONM_HUMAN	LONP1	Lon protease homolog, mitochondrial	1606.68		293.506	521.554		313.562			459.174	537.667		520.13		620.079			407.703	603.698	256.043	353.317
P36871	P36871	PGM1_HUMAN	PGM1	Phosphoglucomutase-1			742.472	1299.49		643.848			961.685			827.915	658.579	679.522	891.409	1235.52	811.013	423.747	602.099	1000.02
P36952	P36952	SPB5_HUMAN	SERPINB5	Serpin B5	1094.37	1482.29	487.308	912.146	2657.23	642.884	2364.07	1593.58	779.842	1015.15		1069.21	1182.32	1028.97	856.116	1412.74	496.396	727.436	449.705	1122.1
P36957	P36957	ODO2_HUMAN	DLST	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	1274.09		469.25	954.414		401.771	2293.31	2004.71	769.748	1253.15		2194.76	743.457	954.442	625.644		1369.96	1566.88	896.913	971.123
P37108	P37108	SRP14_HUMAN	SRP14	Signal recognition particle 14 kDa protein	506.271		382.76	972.199		485.237		1175.86	376.432			1436.34	833.868	781.723	1131.23		674.862	206.852	603.375	1167.18
P37235;P61601;P84074	P84074;P37235;P61601	HPCA_HUMAN;HPCL1_HUMAN;NCALD_HUMAN	HPCA;HPCAL1;NCALD	Hippocalcin-like protein 1			268.626	651.324					292.83						691.387		320.525		111.049	
P37268	P37268	FDFT_HUMAN	FDFT1	Squalene synthase						316.684							516.978	964.541	355.293		575.289	577.491	428.262	
P37802	P37802	TAGL2_HUMAN	TAGLN2	Transgelin-2	2097.67		5514.88	4162.43	478.918	5221.18	341.434	1205.3	5511.17	674.272		2828.76	766.893	596.447	3272.48	2136	2109.26	567.258	4874.42	3664.47
P37837	P37837	TALDO_HUMAN	TALDO1	Transaldolase	852.899	480.791	1476.56	2497.32	544.486	1881.35	1030.92	626.592	2025.01	812.138		1462.29	725.094	692.88	1341.28	1453.85	1512.52	288.338	1587.54	1729.69
P37840	Q16143;P37840	SYUA_HUMAN	SNCA	Alpha-synuclein									786.217											
P38117	P38117	ETFB_HUMAN	ETFB	Electron transfer flavoprotein subunit beta	1397.47		861.501	1544.53		849.959	1829.87	1133.79	977.846	1673		616.089	1339.46	1568.72	1085.54		1651.08	2327.78	817.535	510.041
P38159	P38159;Q96E39	RBMX_HUMAN	RBMX	RNA-binding motif protein, X chromosome	2302		2037.9	1403.03		1951.22	2277.68	2088.93	1766.84	2515.88		1361.72	2390.19	2070.25	1617.86		3269.16	1757.15	1432.77	1749.32
P38606	P38606	VATA_HUMAN	ATP6V1A	V-type proton ATPase catalytic subunit A	563.754		637.059	988.64	923.136	918.154	513.624	654.666	1246.6	680.891		1177.82	641	1253.31	881.924	768.374	786.482	868.476	1087.05	1035.59
P38646	P38646	GRP75_HUMAN	HSPA9	Stress-70 protein, mitochondrial	2869.27		1469.34	2148.57	4882.54	1448.5	3221.32	2821.86	1437.72	1894.7		1371.69	1695.35	2262.27	1280.28		2617.8	2399.12	1189.7	1249.64
P38919	P38919	IF4A3_HUMAN	EIF4A3	Eukaryotic initiation factor 4A-III	1715.86		1168.91	1366.63		1211.38	1153.07	1392.25	1029.93	1761.97		678.869	1600.85	1438.49	626.65	298.591	1347.18	641.958	1227.3	1147.88
P39019	P39019	RS19_HUMAN	RPS19	40S ribosomal protein S19	2935.6		4013.59	3719.68		4267.24	1830.68	3764.31	3993.82	1608.75		3632.62	2440.72	1764.92	3888.09	2456.56	3458.06	315.683	4445.86	5071.75
P39023	P39023	RL3_HUMAN	RPL3	60S ribosomal protein L3	2324.53	1424.13	2428.54	2951.9	896.082	3197.73	1363.15	3747.81	2567.3	983.196		2890.9	1809.61	2245.83	3960.88	1876.34	2548.69	1373.67	3378.97	2627.79
P39060	P39060	COIA1_HUMAN	COL18A1	Collagen alpha-1(XVIII) chain														635.229		622.263	266.723			
P39656	P39656	OST48_HUMAN	DDOST	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	4165.4		1777.02	2026.1	1303.47	1524.53	3091.19	2894.21	1818.16	1820.69		1119.41	3388.03	3861.21	1606.61	512.093	2667.34	3292.28	1721.75	2301.53
P39687	P39687	AN32A_HUMAN	ANP32A	Acidic leucine-rich nuclear phosphoprotein 32 family member A			996.924	860.914		875.654			628.055			464.444			505.297		802.299		482.947	665.063
P39748	P39748	FEN1_HUMAN	FEN1	Flap endonuclease 1			684.405	377.783		1397.71						526.478			1105.51		203.871		835.062	246.659
P40121	P40121	CAPG_HUMAN	CAPG	Macrophage-capping protein	522.147		1247.19	948.195		722.326	1130.77	368.688	1500.27	307.024		2643.25	734.147	319.279	1170.09	1173.96	1192.54	413.907	1309.86	1655.67
P40123	P40123	CAP2_HUMAN	CAP2	Adenylyl cyclase-associated protein 2			248.347						396.996						342.592					
P40222	P40222	TXLNA_HUMAN	TXLNA	Alpha-taxilin			239.987			348.167		105.104									265.889		448.314	424.181
P40227	P40227	TCPZ_HUMAN	CCT6A	T-complex protein 1 subunit zeta	870.156	445.004	2242.96	2047.35		1995.71	679.617	640.52	1776.88	661.443		1399.53	941.692	568.305	1313.92	1444.22	1342.71	387.159	1463.95	1742.02
P40429	P40429;Q6NVV1	RL13A_HUMAN	RPL13A	60S ribosomal protein L13a	1251.44		1815.46	1923.82		2397.59	640.781	2303.75	2255.35	1087.26		3842	1212.64	1890.3	2121.47	2298.83	1980.03	800.153	2933.85	2056.14
P40616	P40616	ARL1_HUMAN	ARL1	ADP-ribosylation factor-like protein 1			472.05	413.219		560.08				266.033		212.512			353.545		291.466	365.692	444.906	603.64
P40925	P40925	MDHC_HUMAN	MDH1	Malate dehydrogenase, cytoplasmic	962.467	1343	4520.46	4983.28	1194.57	4913.7	2564.47	1268.01	6444.23	1834.54		5413.59	2098.62	1379.84	4244.36	4887.54	3317.53	1088.47	4427.43	6026.66
P40926	P40926	MDHM_HUMAN	MDH2	Malate dehydrogenase, mitochondrial	2645.74	513.808	991.701	2358.95	726.606	1105.36	2717.13	902.783	1161.58	1996.42		1271.94	2337.91	2540.97	1448.83	605.813	2074.27	2387.33	1222.03	2050.77
P40939	P40939	ECHA_HUMAN	HADHA	Trifunctional enzyme subunit alpha, mitochondrial	1404.64		766.622	1167.35		641.514	1080.8	1001.95	810.118	1129.88		831.87	1042.24	1724.35	837.552		1531.39	2519.58	957.971	845.68
P41091	P41091	IF2G_HUMAN	EIF2S3	Eukaryotic translation initiation factor 2 subunit 3			503.092	465.534		693.469		705.023	724.413			651.934		556.494	528.24	357.335	314.866		422.633	387.403
P41227;Q9BSU3	P41227;Q9BSU3	NAA10_HUMAN;NAA11_HUMAN	NAA10;NAA11	N-alpha-acetyltransferase 10			335.716	191.571		505.969			241.445						389.993		291.596		313.392	609.393
P41240	P41240	CSK_HUMAN	CSK	Tyrosine-protein kinase CSK			226.871	303.344		205.857			865.514						246.318	161.077			674.943	482.833
P41250	P41250	GARS_HUMAN	GARS1	Glycine--tRNA ligase	559.867	410.589	995.735	681.443		1115.33	681.79		1044.04			634.879		269.379	856.264	907.366	650.234	308.981	674.221	960.611
